"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu May 07 08:09:45 UTC 2026","Thu May 07 08:09:45 UTC 2026","0","","Edit Todo","","com.todomvc.tests.EditTodoTest","savingEmptyEditDeletesTodo","Saving an empty edit field deletes the todo",""
"passed","Thu May 07 08:09:20 UTC 2026","Thu May 07 08:09:53 UTC 2026","32100","","Filter Todos","","com.todomvc.tests.FilterTodoTest","completingOnActiveFilterHidesTodo","Completing a todo while on Active filter removes it from view immediately",""
"passed","Thu May 07 08:09:20 UTC 2026","Thu May 07 08:09:41 UTC 2026","20006","","Add Todo","","com.todomvc.tests.AddTodoTest","addSingleTodo","Add a single todo item","Entering text and pressing Enter creates a new todo item visible in the list"
"passed","Thu May 07 08:09:18 UTC 2026","Thu May 07 08:09:44 UTC 2026","26617","","Footer items-left counter","","com.todomvc.tests.FooterCounterTest","counterIsZeroWhenAllCompleted","Counter shows 0 when all todos are completed",""
"passed","Thu May 07 08:09:21 UTC 2026","Thu May 07 08:09:40 UTC 2026","19003","","Add Todo","","com.todomvc.tests.AddTodoTest","addTodoWithVariousTexts","Add todos with various text values Add todo with text: ""Task with special chars !@#$%^&*()""",""
"passed","Thu May 07 08:09:45 UTC 2026","Thu May 07 08:09:55 UTC 2026","10115","","Edit Todo","","com.todomvc.tests.EditTodoTest","editingTrimsTodo","Editing trims whitespace from the saved text",""
"failed","Thu May 07 08:09:49 UTC 2026","Thu May 07 08:10:04 UTC 2026","15274","","Delete Todo","","com.todomvc.tests.DeleteTodoTest","clearCompletedRemovesAll","Clear-completed removes all completed todos and hides its button",""
"passed","Thu May 07 08:09:17 UTC 2026","Thu May 07 08:09:48 UTC 2026","30530","","Complete / Uncomplete Todo","","com.todomvc.tests.CompleteTodoTest","toggleAllCompletesAll","Toggle-all marks all todos as completed",""
"passed","Thu May 07 08:09:17 UTC 2026","Thu May 07 08:09:48 UTC 2026","30633","","Complete / Uncomplete Todo","","com.todomvc.tests.CompleteTodoTest","completeSingleTodo","Completing a todo marks it as completed",""
"skipped","Thu May 07 08:09:45 UTC 2026","Thu May 07 08:09:45 UTC 2026","0","","Edit Todo","","com.todomvc.tests.EditTodoTest","cancelEditingWithEscape","Pressing Escape during editing reverts to the original text",""
"passed","Thu May 07 08:09:50 UTC 2026","Thu May 07 08:09:55 UTC 2026","5782","","Delete Todo","","com.todomvc.tests.DeleteTodoTest","deleteOneOfManyTodos","Deleting one of many todos leaves the rest intact",""
"passed","Thu May 07 08:09:49 UTC 2026","Thu May 07 08:09:56 UTC 2026","6936","","Delete Todo","","com.todomvc.tests.DeleteTodoTest","itemsLeftUpdatesAfterClearCompleted","After clear-completed, remaining active count updates correctly",""
"passed","Thu May 07 08:09:18 UTC 2026","Thu May 07 08:09:40 UTC 2026","21782","","Add Todo","","com.todomvc.tests.AddTodoTest","addTodoWithVariousTexts","Add todos with various text values Add todo with text: ""Simple task""",""
"passed","Thu May 07 08:09:18 UTC 2026","Thu May 07 08:09:48 UTC 2026","30571","","Footer items-left counter","","com.todomvc.tests.FooterCounterTest","counterDecrementsOnComplete","Counter decrements when a todo is completed",""
"passed","Thu May 07 08:09:20 UTC 2026","Thu May 07 08:09:42 UTC 2026","21883","","Footer items-left counter","","com.todomvc.tests.FooterCounterTest","counterDecrementsOnDelete","Counter decrements when a todo is deleted",""
"failed","Thu May 07 08:09:49 UTC 2026","Thu May 07 08:10:03 UTC 2026","14223","","Delete Todo","","com.todomvc.tests.DeleteTodoTest","clearCompletedHiddenWhenNoneCompleted","Clear-completed button is not shown when no todos are completed",""
"passed","Thu May 07 08:09:49 UTC 2026","Thu May 07 08:09:55 UTC 2026","6219","","Delete Todo","","com.todomvc.tests.DeleteTodoTest","deleteOnlyTodo","Deleting the only todo hides footer and clears the list",""
"passed","Thu May 07 08:09:18 UTC 2026","Thu May 07 08:09:36 UTC 2026","18081","","Footer items-left counter","","com.todomvc.tests.FooterCounterTest","footerHiddenOnFreshLoad","Footer is hidden on fresh load with no todos",""
"passed","Thu May 07 08:09:18 UTC 2026","Thu May 07 08:09:51 UTC 2026","32898","","Filter Todos","","com.todomvc.tests.FilterTodoTest","activeFilterShowsOnlyActive","'Active' filter shows only incomplete todos",""
"passed","Thu May 07 08:09:18 UTC 2026","Thu May 07 08:09:51 UTC 2026","33236","","Filter Todos","","com.todomvc.tests.FilterTodoTest","activeFilterEmptyWhenAllCompleted","Active filter shows empty list when all todos are completed",""
"passed","Thu May 07 08:09:18 UTC 2026","Thu May 07 08:09:39 UTC 2026","21641","","Footer items-left counter","","com.todomvc.tests.FooterCounterTest","footerAppearsAfterFirstTodo","Footer appears as soon as the first todo is added",""
"passed","Thu May 07 08:09:21 UTC 2026","Thu May 07 08:09:41 UTC 2026","20047","","Add Todo","","com.todomvc.tests.AddTodoTest","addTodoWithVariousTexts","Add todos with various text values Add todo with text: ""Very long task name that exceeds typical single-line display in the viewport and wraps around""",""
"passed","Thu May 07 08:09:18 UTC 2026","Thu May 07 08:09:39 UTC 2026","21295","","Add Todo","","com.todomvc.tests.AddTodoTest","todoTextIsTrimmed","Todo text is trimmed of surrounding whitespace",""
"passed","Thu May 07 08:09:21 UTC 2026","Thu May 07 08:09:49 UTC 2026","28593","","Complete / Uncomplete Todo","","com.todomvc.tests.CompleteTodoTest","toggleAllTwiceUncompletes","Toggle-all again uncompletes all todos",""
"passed","Thu May 07 08:09:17 UTC 2026","Thu May 07 08:09:49 UTC 2026","31725","","Complete / Uncomplete Todo","","com.todomvc.tests.CompleteTodoTest","uncompleteTodo","Completed todo can be unchecked back to active",""
"passed","Thu May 07 08:09:18 UTC 2026","Thu May 07 08:09:51 UTC 2026","33406","","Filter Todos","","com.todomvc.tests.FilterTodoTest","allFilterShowsEverything","'All' filter shows all todos regardless of status",""
